,서비스번호,서비스명,판매자,서비스가격,평점,대분류,판매수,value_nouns,소분류,소분류_AI 및 머신러닝,소분류_IoT 및 임베디드 시스템,소분류_SEO 및 마케팅,소분류_게임 개발,소분류_관리 시스템,소분류_기타,소분류_기획 및 문서화,소분류_데이터 분석 및 시각화,소분류_데이터 수집 및 자동화,소분류_데이터베이스 관리,소분류_디자인 및 퍼블리싱,소분류_보안 및 취약점 관리,소분류_블록체인 및 암호화폐,소분류_서버 관리,소분류_앱 개발,소분류_웹사이트 개발,소분류_유지보수,소분류_자동화 및 스크립팅,소분류_전자상거래 및 CMS,소분류_제어 및 센서 시스템,소분류_하드웨어 및 IT지원,소분류_AI 및 머신러닝,소분류_IoT 및 임베디드 시스템,소분류_SEO 및 마케팅,소분류_게임 개발,소분류_관리 시스템,소분류_기타,소분류_기획 및 문서화,소분류_데이터 분석 및 시각화,소분류_데이터 수집 및 자동화,소분류_데이터베이스 관리,소분류_디자인 및 퍼블리싱,소분류_보안 및 취약점 관리,소분류_블록체인 및 암호화폐,소분류_서버 관리,소분류_앱 개발,소분류_웹사이트 개발,소분류_유지보수,소분류_자동화 및 스크립팅,소분류_전자상거래 및 CMS,소분류_제어 및 센서 시스템,소분류_하드웨어 및 IT지원
117,2304.0,간단한 프로그래밍 코딩 도와드립니다,ehjang,10000.0,5.0,프로그래밍,173,"[""'프로그래밍'"", ""'코딩'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,2318.0,파이썬 c 코딩 이 한 몸 바쳐 도와 드립니다.,낯선소년,10000.0,5.0,프로그래밍,66,"[""'파이썬'"", ""'코딩'"", ""'몸'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,2328.0,PHP HTML 기능 개선 및 수정해드립니다.,유웅디,5000.0,5.0,홈페이지,34,"['주요 명사: PHP', 'HTML', '기능', '수정']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,2374.0,MATLAB 훌륭하게 만들어 드립니다.,전세영,100000.0,4.9,기타,107,"[""'MATLAB'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,2377.0,매일 하시는 반복업무 버튼으로 만들어 드립니다.,Excelerated데이터솔루션,10000.0,5.0,기타,518,"[""'반복업무'"", ""'버튼'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,2392.0,C언어 프로그래밍을 해 드립니다.,C튜토리얼,7500.0,5.0,프로그래밍,1393,"[""'C언어'"", ""'프로그래밍'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,2395.0,파이썬 프로그래밍해 드립니다.,터렛짓는다,10000.0,5.0,프로그래밍,471,"[""'파이썬'"", ""'프로그래밍'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,2397.0,카카오먼트 픽셀 설치 도와 드립니다.,개밥그릇,20000.0,5.0,기타,1410,"[""'카카오먼트'"", ""'픽셀'"", ""'설치'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,2399.0,"React, Html 웹 페이지 제작 전문 프론트엔드",임쁘띠,100000.0,5.0,홈페이지,582,"[""'웹 페이지'"", ""'제작'"", ""'프론트엔드'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,2403.0,"PDF파일을 편집, 수정, 변환해 드립니다.",디자인20,5000.0,5.0,기타,103,"['PDF파일', '편집', '수정', '변환']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,2417.0,PC 온라인 원격포맷해 드립니다.,RCPC,50000.0,5.0,프로그래밍,267,"['주요 명사: PC', '온라인', '원격포맷']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,2426.0,간단한 프로그래밍 도와 드립니다.,러쎌,20000.0,5.0,프로그래밍,83,"[""'프로그래밍'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,2446.0,AWS 기술지원해 드립니다.,MasterONE,10000.0,5.0,기타,973,"['주요 명사: AWS', '기술지원']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
200,2448.0,PDF 다양한 편집을 해 드립니다.,케세라세라,5000.0,5.0,기타,192,"[""'PDF'"", ""'편집'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
206,2461.0,당신의 웹 사이트에 기능을 추가해 드립니다.,rigelko,50000.0,5.0,홈페이지,475,"[""'웹 사이트'"", ""'기능'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
208,2465.0,"C언어, 파이썬, 웹 프로그래밍, 프로젝트도와드립니다.",rigelko,10000.0,4.9,홈페이지,1118,"['C언어', '파이썬', '웹 프로그래밍', '프로젝트']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,2504.0,아임웹 수정 및 기능추가 작업을 전문적으로 해드립니다.,햄디,20000.0,5.0,홈페이지,189,"[""'아임웹'"", ""'수정'"", ""'기능추가'"", ""'작업'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,2518.0,"PHP 기능 추가,변경 해 드립니다.",도넛소프트,50000.0,5.0,기타,270,"[""'PHP'"", ""'기능'"", ""'변경'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
240,2535.0,"Python,Java, C, C++ 도와드립니다.",슈퍼공학자,15000.0,5.0,프로그래밍,435,"['Python', 'Java', 'C', 'C++']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,2571.0,Python 코딩 해 드립니다.,대일김,50000.0,5.0,기타,46,"[""'Python'"", ""'코딩'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
274,2611.0,AWS 아마존 웹 서비스의 모든 사항에 대해 도와 드립니다.,CLOUDLAB,30000.0,5.0,홈페이지,1148,"['주요 명사: AWS', '아마존', '웹 서비스', '사항']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
278,2616.0,파이썬 언어로 코딩해 드립니다.,잡IT,10000.0,5.0,프로그래밍,102,"[""'파이썬'"", ""'언어'"", ""'코딩'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
284,2627.0,트레이딩뷰 파인스크립트 제작해드립니다,노드마더,50000.0,5.0,프로그래밍,75,"['주요 명사: 트레이딩뷰', '파인스크립트']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,2669.0,엑셀 아웃룩 VBA 파일 제작해 드립니다.,엑셀아웃룩VBA,15000.0,5.0,데이터,137,"['엑셀', '아웃룩', 'VBA', '파일', '제작']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
318,2686.0,원격 윈도우10 설치 도움 드립니다.,푸바오,12000.0,5.0,기타,182,"[""'원격'"", ""'윈도우10'"", ""'설치'"", ""'도움'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,2696.0,엑셀 ERP / VBA 프로그래밍해 드립니다.,겨울나무,50000.0,5.0,데이터,149,"['엑셀', 'ERP', 'VBA', '프로그래밍']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
328,2702.0,"PHP 간편수정, 코딩, 게시판 작업해 드립니다.",오디자인60,20000.0,5.0,기타,34,"['PHP', '간편수정', '코딩', '게시판']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
330,2706.0,용도에 따른 견적 짜 드립니다.,즐PC,10000.0,5.0,기타,477,"[""'용도'"", ""'견적'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
334,2712.0,"엑셀,워드,한글,이미지 등등 PDF로 변환해 드립니다.",매콤달콤한영웅,5000.0,4.9,데이터,221,"['엑셀', '워드', '한글', '이미지', 'PDF']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
350,2748.0,"JAVA, JS, API, JSP, DB 프로그래밍해 드립니다.",손커피,5000.0,5.0,프로그래밍,375,"['JAVA', 'JS', 'API', 'JSP', 'DB', '프로그래밍']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
351,2749.0,디스코드 챗봇 제작해 드립니다.,AblelaDev,8000.0,5.0,인공지능,36,"[""'디스코드'"", ""'챗봇'"", ""'제작'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
358,2757.0,바이낸스 BEP20 제작해 드립니다.,OMD,10000.0,5.0,프로그래밍,734,"['주요 명사: 바이낸스', 'BEP20']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
400,2822.0,랜딩페이지를 제작해 드립니다.,밥알미디어,110000.0,5.0,프로그래밍,130,"[""'랜딩페이지'"", ""'제작'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
402,2826.0,회로설계 및 PCB 설계 및 제작 해 드립니다.,해줌랩,50000.0,5.0,프로그래밍,175,"['회로설계', 'PCB 설계', '제작']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
409,2834.0,고객 맞춤형 전자회로 PCB 시제품을 제작해 드립니다.,자연그대로,50000.0,5.0,프로그래밍,47,"['고객', '전자회로', 'PCB', '시제품']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
412,2838.0,다양한 프로그래밍 도와 드립니다.,페라프라페,10000.0,5.0,프로그래밍,467,"[""다음 문장에서 추출한 주요 명사는 '프로그래밍'"", ""'도와' 입니다.""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
413,2841.0,간단한 JavaScript/Python/C언어 코딩,캬라멜스무디,7000.0,5.0,프로그래밍,545,"['JavaScript', 'Python', 'C언어', '코딩']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
417,2847.0,페이스북 카카오 애널리틱스 픽셀 등 설치 도와 드립니다,민초떠떠,15000.0,5.0,기타,331,"['페이스북', '카카오', '애널리틱스', '픽셀']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
418,2848.0,한 페이지 1시간 안에 만들어 드립니다.,22hours,50000.0,5.0,기타,12,"[""'페이지'"", ""'시간'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
420,2852.0,"HTML,CSS, jqeury,웹접근성 모두 진행 해 드립니다.",스토리튜브,50000.0,5.0,홈페이지,38,"['주요 명사: HTML', 'CSS', 'jquery', '웹접근성']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
449,2897.0,PHP AWS 웹 프로젝트 연동해 드립니다.,재택만가능합니다,30000.0,4.9,홈페이지,162,"[""'PHP'"", ""'AWS'"", ""'웹 프로젝트'"", ""'연동'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
451,2901.0,유니티 Unity 를 사용하여 다양한 콘텐츠를 구현해 드립니다.,김썬,1100000.0,5.0,디자인,10,"[""'유니티'"", ""'콘텐츠'"", ""'구현'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
465,2923.0,일러스트레이터 스트립트 제작,jey0109,100000.0,5.0,프로그래밍,197,"[""'일러스트레이터'"", ""'스트립트'"", ""'제작'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
466,2925.0,"웹, 웹 애플리케이션 제작해 드립니다.",어른곰,9000.0,4.9,홈페이지,981,"[""'웹'"", ""'애플리케이션'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
468,2928.0,AWS 출신의 AWS 기술지원,JNOLOGY,10000.0,5.0,기타,220,"[""'AWS'"", ""'기술지원'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
471,2934.0,웹 페이지 렌딩페이지를 제작해 드립니다.,ExFl,50000.0,5.0,홈페이지,116,"[""'웹 페이지'"", ""'렌딩페이지'"", ""'제작'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
473,2936.0,컴맹도 믿고 맡기는 컴병원 피씨클리닉 친절히 다 고쳐 드립니다.,피씨클리닉,10000.0,5.0,기타,102,"['주요 명사: 컴맹', '컴병원', '피씨클리닉']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
474,2937.0,다재다능한 챗봇 만들어드립니다,Mokky,40000.0,5.0,인공지능,436,"[""'챗봇'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
477,2941.0,개인용 기업용 나스 구축해 드립니다.,NDesign,20000.0,4.6,기타,411,"[""'개인용'"", ""'기업용'"", ""'나스'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
478,2943.0,틱톡TikTok 픽셀 설치해 드립니다.,최초개척자,65000.0,5.0,기타,13,"[""'틱톡'"", ""'픽셀'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
483,2948.0,php 프로그래밍해 드립니다.,Starcoding,40000.0,4.4,프로그래밍,95,"[""'php'"", ""'프로그래밍'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
492,2964.0,전문 카카오톡 플러스친구 스토리 챗봇 제작해 드립니다.,스낵컬쳐,15000.0,4.9,인공지능,51,"['주요 명사: 카카오톡', '플러스친구', '스토리', '챗봇']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
494,2967.0,PHP 무엇이든 가능합니다 11년경력 책임감으로 살아온 삶을 보여 드립니다.,야미웹,20000.0,5.0,기타,209,"[""'PHP'"", ""'년경력'"", ""'책임감'"", ""'삶'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
498,2972.0,macOS 사용중 문제가 있다면 연락주세요,HackinFactory,50000.0,4.9,기타,463,"[""'macOS'"", ""'문제'"", ""'연락'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
501,2976.0,"웹페이지 기능추가,기능수정 및 오류수정해 드립니다.",tabbake,5000.0,5.0,홈페이지,12,"['웹페이지', '기능추가', '기능수정', '오류수정']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
503,2979.0,영상처리 및 랜더링 SW 빠르고 잘 만들어 드립니다.,응탁,50000.0,5.0,기타,122,"['영상처리', '랜더링', 'SW']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
507,2985.0,"JavaScript, React 버그수정, 기능개선 해 드립니다.",명쾌한살구꽃,5000.0,5.0,기타,11,"['JavaScript', 'React', '버그수정', '기능개선']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
523,3014.0,"AWS, GCP, K8S 구축부터 교육까지 완벽 코칭",슬로우먼데이,80000.0,5.0,프로그래밍,137,"['AWS', 'GCP', 'K8S', '구축', '교육', '코칭']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
529,3022.0,"슬랙, 카카오톡, 디스코드, 텔레그램 챗봇 제작해 드립니다.",크루또이,100000.0,5.0,인공지능,351,"['슬랙', '카카오톡', '디스코드', '텔레그램', '챗봇']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
533,3030.0,SNS로그인 연동 해 드립니다.,애런강,20000.0,4.9,기타,868,"['주요 명사: SNS', '로그인', '연동']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
542,3043.0,AWS Setting 도와 드립니다.,용산집,50000.0,5.0,기타,64,"['주요 명사: AWS', 'Setting']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
553,3060.0,제페토 월드 맵 제작 빠른 작업으로 제작해 드립니다.,zepetobuild,599000.0,5.0,프로그래밍,49,"[""'제페토'"", ""'월드'"", ""'맵'"", ""'작업'"", ""'제작'""]",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
557,3066.0,주식과 암호화폐 API 연동 시스템 트레이딩 구축,개발자둠타,50000.0,5.0,기타,667,"['주요 명사: 주식', '암호화폐', 'API', '연동', '시스템', '트레이딩', '구축']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
560,3074.0,"카카오톡, 디스코드, 텔레그램 채팅연동을 해 드립니다.",팀시지프스,50000.0,5.0,기타,180,"['카카오톡', '디스코드', '텔레그램', '채팅연동']",기타,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
